ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,run,fishOrigin,lifeStage,forkLength,n,visitTime,visitType,siteName,subSiteName,markType,markColor,markPosition,markCode
7,5858,225,Chinook salmon,264,,Natural,Not recorded,,2,2023-03-03T10:30:34Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Yellow,Nose,
7,6025,230,Chinook salmon,262,,Hatchery,Not recorded,,14,2023-02-24T11:00:14Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,6026,230,Chinook salmon,263,,Natural,Not recorded,,1,2023-02-24T11:00:14Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Yellow,Nose,
7,6044,231,Chinook salmon,262,,Hatchery,Not recorded,,2,2023-02-25T09:45:39Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,6045,231,Chinook salmon,263,,Natural,Not recorded,,1,2023-02-25T09:45:39Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Yellow,Nose,
7,6097,233,Chinook salmon,262,,Hatchery,Not recorded,,1,2023-02-27T10:15:22Z,Unplanned restart,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,6260,237,Chinook salmon,264,,Natural,Not recorded,,14,2023-03-03T10:00:06Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Yellow,Nose,
7,6489,241,Chinook salmon,264,,Natural,Not recorded,,7,2023-03-03T10:10:17Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Yellow,Nose,
7,6816,248,Chinook salmon,266,,Natural,Not recorded,,1,2023-03-10T09:20:56Z,End trapping,Hallwood,Hallwood 1 RR,Elastomer,Yellow,Nose,
7,7195,263,Chinook salmon,266,,Natural,Not recorded,,1,2023-03-09T09:50:48Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Yellow,Nose,
7,7253,264,Chinook salmon,266,,Natural,Not recorded,,1,2023-03-10T09:40:50Z,End trapping,Hallwood,Hallwood 2 RL,Elastomer,Yellow,Nose,
7,7553,295,Chinook salmon,267,,Hatchery,Not recorded,,3,2023-03-24T09:10:17Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,7815,307,Chinook salmon,267,,Hatchery,Not recorded,,1,2023-03-24T08:50:51Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,8041,314,Chinook salmon,268,,Hatchery,Not recorded,,5,2023-03-31T09:20:59Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,8221,334,Chinook salmon,268,,Hatchery,Not recorded,,1,2023-04-04T08:50:36Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8264,339,Chinook salmon,269,,Hatchery,Not recorded,,4,2023-04-07T09:10:44Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,8371,349,Chinook salmon,269,,Hatchery,Not recorded,,1,2023-04-11T09:52:07Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8372,349,Chinook salmon,269,,Hatchery,Not recorded,,1,2023-04-11T09:52:07Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8452,363,Chinook salmon,270,,Hatchery,Not recorded,,3,2023-04-14T11:04:56Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8456,364,Chinook salmon,270,,Hatchery,Not recorded,,1,2023-04-15T09:05:25Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8457,360,Chinook salmon,270,,Hatchery,Not recorded,,26,2023-04-14T11:20:29Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,8477,368,Chinook salmon,270,,Hatchery,Not recorded,,1,2023-04-16T10:05:00Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,8570,373,Chinook salmon,271,,Hatchery,Not recorded,,3,2023-04-21T08:58:14Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,8583,376,Chinook salmon,270,,Hatchery,Not recorded,,1,2023-04-18T10:40:50Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8641,383,Chinook salmon,270,,Hatchery,Not recorded,,1,2023-04-19T10:02:42Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,8666,384,Chinook salmon,270,,Natural,Not recorded,,1,2023-04-20T10:50:41Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,8693,385,Chinook salmon,271,,Hatchery,Not recorded,,12,2023-04-21T08:53:40Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,8782,390,Chinook salmon,271,,Hatchery,Not recorded,,1,2023-04-22T09:32:02Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,8811,391,Chinook salmon,271,,Hatchery,Not recorded,,2,2023-04-23T09:52:25Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,8880,395,Chinook salmon,272,,Hatchery,Not recorded,,2,2023-04-28T09:45:40Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,8909,399,Chinook salmon,271,,Hatchery,Not recorded,,1,2023-04-25T08:48:52Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8926,401,Chinook salmon,272,,Hatchery,Not recorded,,5,2023-04-28T10:06:10Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,8938,403,Chinook salmon,272,,Hatchery,Not recorded,,1,2023-04-30T10:03:33Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,9015,407,Chinook salmon,272,,Hatchery,Not recorded,,3,2023-04-28T09:30:26Z,Continue trapping,Hallwood,Hallwood 3,Elastomer,Pink,Nose,
7,9158,421,Chinook salmon,272,,Hatchery,Silvery parr,74.0,1,2023-05-03T12:38:20Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,9159,415,Chinook salmon,273,,Hatchery,Not recorded,,3,2023-05-05T09:30:31Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,9304,434,Chinook salmon,274,,Hatchery,Not recorded,,1,2023-05-12T08:52:57Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,10000,247,Chinook salmon,265,,Hatchery,Not recorded,,1,2023-03-09T09:30:24Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,10001,218,Chinook salmon,263,,Natural,Not recorded,,1,2023-02-24T10:50:59Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Yellow,Nose,
7,10002,379,Chinook salmon,271,,Hatchery,Not recorded,,1,2023-04-21T09:13:51Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
7,10663,434,Chinook salmon,274,,Hatchery,Not recorded,,1,2023-05-12T08:52:57Z,Continue trapping,Hallwood,Hallwood 1 RR,Elastomer,Pink,Nose,
7,11654,422,Chinook salmon,273,,Natural,Parr,38.0,1,2023-05-05T10:18:19Z,Continue trapping,Hallwood,Hallwood 2 RL,Elastomer,Pink,Nose,
